#separator:Pipe
#html:false
#notetype:Basic
#deck:ML::Modelling Pipeline
#tags column:3
#columns:Front|Back|Tags
What is the modelling population?|The specific set of rows you model on, as opposed to the raw file. It defines what the model's output means. Example: filtering to one product and one date range turns "risk of any loan" into "risk of this product in this era".|population
Why must population filtering come before profiling?|Null rates and distributions are properties of the population, not the file. Example: a column that is 50 percent null overall may be 0 percent null among the rows you actually keep.|population
What is a label definition?|The rule mapping raw outcomes to the target variable, including the time horizon. Example: "failed within 24 months" is a different label from "failed at any point", and they are not interchangeable.|label
Why does the choice of positive class matter?|Precision, recall and the rest are defined relative to the positive class. Example: code the rare bad outcome as 0 and recall now measures your ability to find good cases, so every metric reads backwards.|label
What is the one-line test for step ordering?|Ask whether the step touches the label. If yes, it belongs after the train-test split. Example: null-rate profiling is safe anywhere, but default-rate-by-bucket is not.|ordering
What is censoring?|An observation whose outcome is not yet observable because the observation window ended first. Example: a 5-year contract that is 2 years old has no final status yet.|censoring
How does censoring differ from missing data?|Missing means the value exists but was not recorded. Censored means the event has not happened yet. Example: an unrecorded income is missing, an unfinished contract is censored.|censoring
How does censoring differ from truncation?|Censoring means partial information about an included subject. Truncation means the subject never entered the sample at all. Example: a still-running loan is censored, a rejected applicant is truncated.|censoring
What is right-censoring?|The outcome lies beyond the end of the observation period. Example: a customer still subscribed on the extract date has an unknown eventual churn date.|censoring
Why can censored cases not be coded as negative?|It relabels "not yet" as "never", biasing the model optimistic. Example: coding all in-flight contracts as non-failures understates risk, because some will fail next year.|censoring
What is survival analysis?|Modelling time-to-event rather than whether an event occurred, so censored cases contribute instead of being dropped. Example: Kaplan-Meier curves and Cox proportional hazards models.|censoring
What is a hazard rate?|The instantaneous risk of the event at time t, conditional on surviving until t. Example: failure hazard often peaks early then declines, so risk is not spread evenly over the term.|censoring
What is a fixed performance window?|Measuring the outcome within a set number of months from the start, rather than over the full contract. Example: "failed within 24 months" applied to every case regardless of contract length.|censoring
Why must a performance window be shorter than the shortest contract?|So no case has finished by the checkpoint, which makes all groups comparable. Example: a 24-month window works when the shortest product runs 36 months.|censoring
Why are cumulative rates not comparable across different horizons?|More exposure time means more opportunity to fail, independent of risk. Example: a 5-year cumulative rate exceeds a 3-year one even when the annual risk is identical.|censoring
Does truncating the outcome window preserve the ratio between two groups?|No, because truncation removes different proportions from each. Example: a group whose failures arrive later loses more of them when you cut the window short.|censoring
